video_id,channelTitle,title,description,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,Release_Time,Release_Month, Release_Day,TotalSecs,Date
h79zCz1UICM,MavinRecords,"Don Jazzy, Tiwa Savage and DJ Big N visit with Jay Z at Rocnation's HQ","Don Jazzy, Tiwa Savage and DJ Big N visit with Jay Z at Rocnation's HQ",2016-06-08 15:06:00,71858,428,0.0,28.0,PT1M6S,hd,false,1900-01-01 15:06:00,June,Wednesday,66.0,2016-06-08
IrSaQXSmBCg,MavinRecords,Snaps of Reekado Banks celebrating the release of his new single #Standard at Club Quilox,Snaps of Reekado Banks celebrating the release of his new single #Standard at Club Quilox,2016-06-06 18:17:10,3407,41,0.0,7.0,PT1M41S,hd,false,1900-01-01 18:17:10,June,Monday,101.0,2016-06-06
uMdme7IGSR8,MavinRecords,Reekado Banks - Standard,Reekado Banks - Standard. Download at http://bit.ly/standarddownloadnjo,2016-06-05 20:11:21,60696,656,0.0,87.0,PT3M12S,hd,false,1900-01-01 20:11:21,June,Sunday,192.0,2016-06-05
qYak8fug9PQ,MavinRecords,Dr Sid - The Best ( Official Music Video ),,2016-06-03 18:04:35,410893,2663,0.0,252.0,PT4M34S,hd,true,1900-01-01 18:04:35,June,Friday,274.0,2016-06-03
iLm783ohyaM,MavinRecords,LOL. Best Kabiyesi mashups,Watch the Kabiyesi music video by Dr Sid at https://www.youtube.com/watch?v=IRGKF5DIL9A,2016-06-02 19:29:19,4835,99,0.0,7.0,PT1M19S,hd,false,1900-01-01 19:29:19,June,Thursday,79.0,2016-06-02
aX3PpV0myXk,MavinRecords,D'Prince ft. Small Doctor - Show Me. Produced by Don Jazzy,,2016-06-01 17:50:16,33564,345,0.0,48.0,PT4M13S,hd,false,1900-01-01 17:50:16,June,Wednesday,253.0,2016-06-01
D6JQUgdSsqA,MavinRecords,"LOL.How white people sing love songs vs how african people sing love songs, an Adaobi mashup",Watch the music video to the Adaobi song at https://www.youtube.com/watch?v=f6-gjQQNIlA,2016-05-31 17:41:44,28578,474,0.0,20.0,PT16S,sd,false,1900-01-01 17:41:44,May,Tuesday,16.0,2016-05-31
tl7dqx_1ZVg,MavinRecords,Snaps of Reekado Banks performing at Shalanga with Don Jazzy and Korede Bello in the audience,Snaps of Reekado Banks performing Katapot and Oluwa Ni at Shalanga with Don Jazzy and Korede Bello in the audience.,2016-05-30 22:22:06,6906,68,0.0,5.0,PT2M20S,sd,false,1900-01-01 22:22:06,May,Monday,140.0,2016-05-30
srSSJrSjbko,MavinRecords,RED album masterpiece by Tiwa Savage. Available on all digital stores,RED album masterpiece by Tiwa Savage. Available on all digital stores.  Get it at http://bit.ly/RedAlbum-iTunes-AppleMusic,2016-05-30 11:05:38,3270,26,0.0,1.0,PT14S,hd,false,1900-01-01 11:05:38,May,Monday,14.0,2016-05-30
Fzy7ouc30N4,MavinRecords,Tiwa Savage slays at Toolz wedding in Dubai. Check out her stunning outfit,"Soundtrack: Before Nko from the RED album. Get it at http://bit.ly/RedAlbum-iTunes-AppleMusic

Dress by http://www.bridgetawosika.com
Facebeat by http://www.joycejacob.com
Hair by http://dfalana.tumblr.com",2016-05-29 21:40:44,11489,130,0.0,10.0,PT55S,hd,false,1900-01-01 21:40:44,May,Sunday,55.0,2016-05-29
FXZK5bCk4So,MavinRecords,#Reekaddicts go super hard 🙌🏾. They ready for that Reekado Banks album coming soon...,#Reekaddicts go super hard 🙌🏾. They ready for that Reekado Banks album coming soon...,2016-05-29 03:57:59,3276,34,0.0,2.0,PT19S,sd,false,1900-01-01 03:57:59,May,Sunday,19.0,2016-05-29
WhnHNQTuw-U,MavinRecords,Reekado Banks' snaps from JABU performance,Complete Lituation at Joseph Ayo Babalola University #Jabu. #reekaddicts singing word for word. You can follow Reekado Banks on Snapchat: reekadobanks1,2016-05-28 21:49:16,4318,57,0.0,6.0,PT49S,sd,false,1900-01-01 21:49:16,May,Saturday,49.0,2016-05-28
ZxcjQVHYE9U,MavinRecords,Tiwa Savage and Jamil's wonderful adventure in the Dubai Desert.,Tiwa Savage and Jamil's wonderful adventure in the Dubai Desert.,2016-05-27 19:20:31,20866,160,0.0,38.0,PT1M17S,sd,false,1900-01-01 19:20:31,May,Friday,77.0,2016-05-27
2dJMrYcMMVM,MavinRecords,Korede Bello hits the streets of Lagos to support the #StrapThatChildNow movement,Korede Bello hits the streets of Lagos to support the #StrapThatChildNow movement. Here are clips from his Snapchat story. You can follow Korede Bello on Snapchat: koredebello,2016-05-27 16:25:40,9652,122,0.0,11.0,PT1M42S,sd,false,1900-01-01 16:25:40,May,Friday,102.0,2016-05-27
mER8uTqMSnk,MavinRecords,Korede Bello - One & Only ( Official Music Video ),,2016-05-26 14:24:48,3048776,18628,0.0,839.0,PT3M23S,hd,false,1900-01-01 14:24:48,May,Thursday,203.0,2016-05-26
6PhQol_pqpE,MavinRecords,Tiwa Savage shares photos of her and Jamil poolside in Dubai,,2016-05-26 12:28:09,33492,309,0.0,32.0,PT1M16S,hd,false,1900-01-01 12:28:09,May,Thursday,76.0,2016-05-26
oqCdr74Krcg,MavinRecords,Tiwa Savage and Jamil fly to Dubai on Emirates,Tiwa Savage and Jamil fly to Dubai on Emirates,2016-05-24 15:23:03,54785,225,0.0,19.0,PT31S,hd,false,1900-01-01 15:23:03,May,Tuesday,31.0,2016-05-24
wIWIVO6fjFg,MavinRecords,If I Start To Talk Behind The Scenes Photos Of Tiwa Savage,Here are some of our favorite behind the scenes photos of the critically acclaimed “If I Start To Talk” music video by Tiwa Savage. These photos and others can be viewed on Tiwa Savage’s Facebook page at http://facebook.com/tiwasavage,2016-05-24 14:44:24,17034,132,0.0,16.0,PT3M55S,hd,false,1900-01-01 14:44:24,May,Tuesday,235.0,2016-05-24
1UpvfDNUJRc,MavinRecords,Reekado Banks Snapchat clips at club 112 in Malaysia,Reekado Banks Snapchat clips at club 112 in Malaysia. You can follow him on Snapchat: reekadobanks1,2016-05-21 12:44:50,6116,51,0.0,8.0,PT59S,sd,false,1900-01-01 12:44:50,May,Saturday,59.0,2016-05-21
6vHsaOa3ftg,MavinRecords,Don Jazzy goes on a Johnnie Walker Experience at the Drummuir Castle in Scotland,Don Jazzy goes on a Johnnie Walker Experience at the Drummuir Castle in Scotland with Nollywood legend Richard Mofe Damijo and #progresswithjoy winner Vincent Uche,2016-05-19 12:05:47,17058,117,0.0,11.0,PT3M51S,hd,false,1900-01-01 12:05:47,May,Thursday,231.0,2016-05-19
EfA3Ve6_aq0,MavinRecords,Oga Madam Tiwa Savage snapchat vibing wit JamJam,Oga Madam Tiwa Savage snapchat vibing wit JamJam. You can follow Tiwa on Snapchat at tiwa.savage,2016-05-16 02:01:34,12686,119,0.0,9.0,PT30S,sd,false,1900-01-01 02:01:34,May,Monday,30.0,2016-05-16
enxgCYZzC40,MavinRecords,Reekado Banks performing the chart topping Oluwa Ni at Kiss Daniel’s album launch concert,Reekado Banks performing that chart topping #gbeduweydeyburstbrain called #oluwani at Kiss Daniel’s album launch concert,2016-05-16 01:43:44,5652,56,0.0,7.0,PT40S,sd,false,1900-01-01 01:43:44,May,Monday,40.0,2016-05-16
0IyZJbISIgs,MavinRecords,Dab-Mania happening on Reekado Banks' Snapchat,"Dab-Mania going happening on Reekado Banks' Snapchat with Reekado jamming to Dab it Remix by Kida Kudz featuring Reekado Banks
Follow Reekado Banks on Snapchat at Reekadobanks1
Follow Mavin Records on Snapchat at MavinRecords",2016-05-13 20:54:21,6687,105,0.0,7.0,PT48S,sd,false,1900-01-01 20:54:21,May,Friday,48.0,2016-05-13
DPmd-8ktpEM,MavinRecords,DJ Big N - Erima ft. Dr. Sid and Wizkid ( Official music video ),,2016-05-11 14:38:50,945789,6147,0.0,332.0,PT4M13S,hd,false,1900-01-01 14:38:50,May,Wednesday,253.0,2016-05-11
SSridAPsUF0,MavinRecords,"Reekado Banks and Woliarole aka ""the comical prophet"" Flexing on Instagram 😭😭","Woliarole aka ""the comical prophet"" and Reekado Banks Flexing on Instagram 😭😭",2016-05-10 16:29:28,13947,75,0.0,6.0,PT46S,hd,false,1900-01-01 16:29:28,May,Tuesday,46.0,2016-05-10
bBNhFFpE6Yk,MavinRecords,See Reekado Banks dancing on Snapchat 😂😂,"Follow Reekado Banks on Snapchat : reekadobanks 1
Follow Mavin Records on Snapchat: mavinrecords",2016-05-10 15:16:10,7293,65,0.0,7.0,PT30S,sd,false,1900-01-01 15:16:10,May,Tuesday,30.0,2016-05-10
uN_oxSubPv8,MavinRecords,Reekado Banks Wilding On Snapchat,Reekado Banks Wilding On Snapchat,2016-05-09 17:12:08,7886,45,0.0,8.0,PT20S,sd,false,1900-01-01 17:12:08,May,Monday,20.0,2016-05-09
TpkH920G4WY,MavinRecords,alien mega superstar spotted on Snapchat 👽👽,alien mega superstar spotted on Snapchat 👽👽,2016-05-07 01:19:53,11448,108,0.0,10.0,PT21S,sd,false,1900-01-01 01:19:53,May,Saturday,21.0,2016-05-07
jp11fq3VUJE,MavinRecords,Korede Bello and Reekado Banks thrilling fans at the #MaydayAfrobeatConcert in London,Korede Bello and Reekado Banks thrilling fans at the #MaydayAfrobeatConcert in London,2016-05-03 14:33:34,17746,190,0.0,17.0,PT1M40S,sd,false,1900-01-01 14:33:34,May,Tuesday,100.0,2016-05-03
uhNG0SXCAbk,MavinRecords,Tiwa Savage - If I Start To Talk ft. Dr. Sid ( Official Music Video ),,2016-04-27 12:13:04,3425136,23018,0.0,1699.0,PT4M26S,hd,false,1900-01-01 12:13:04,April,Wednesday,266.0,2016-04-27
Ca--rlAnBqg,MavinRecords,If I Start To Talk Trailer - Music video dropping tomorrow,,2016-04-26 15:29:25,9532,176,0.0,21.0,PT16S,hd,false,1900-01-01 15:29:25,April,Tuesday,16.0,2016-04-26
ekQXyTFNpjA,MavinRecords,Tiwa Savage surprises fan at her wedding,Folakemi is an incredible Tiwa Savage fan who got a memorable experience on her wedding day when Tiwa Savage made a surprise appearance.  Here is how it went down.,2016-04-25 09:11:29,48419,587,0.0,55.0,PT5M39S,hd,false,1900-01-01 09:11:29,April,Monday,339.0,2016-04-25
Fuft0cS8Wxs,MavinRecords,#TBT Ever seen a pump attendant this 🔥🔥🔥 ? SMD DoroDiva Tiwa Savage Forte Oil swagging,"#TBT Ever seen a pump attendant this 🔥🔥🔥 ? SMD DoroDiva Tiwa Savage Forte Oil swagging during their customer service week

Soundtrack: #IfIStartToTalk, one of the many hits on the Deluxe version of the critically acclaimed RED album by Tiwa Savage which is now available on iTunes and Apple Music with 2 new songs with Wizkid and P-Square",2016-04-07 23:19:04,13099,166,0.0,8.0,PT44S,hd,false,1900-01-01 23:19:04,April,Thursday,44.0,2016-04-07
iPFxRVR2G1k,MavinRecords,#ProgressWithJoy - Don Jazzy shares video of him performing at age 9,,2016-04-07 19:37:28,38987,352,0.0,34.0,PT1M2S,sd,false,1900-01-01 19:37:28,April,Thursday,62.0,2016-04-07
qCAjvKCLoxQ,MavinRecords,"#TBT Instagram Post:  Dr. Sid perfroming the Classic ""Pop Something""  @  #kennismusiceasterfiesta",,2016-04-07 15:57:07,3369,47,0.0,1.0,PT1M1S,sd,false,1900-01-01 15:57:07,April,Thursday,61.0,2016-04-07
uL_Wz59ihcA,MavinRecords,Dj Big N shutdown by Don Jazzy,"Via @DonJazzy on Instagram - ""Throwback to #AccessMavinconcert @DjBigN shutdown. 3 of my fav songs of all time in this clip""",2016-04-07 13:16:40,5065,94,0.0,9.0,PT1M,sd,false,1900-01-01 13:16:40,April,Thursday,60.0,2016-04-07
s-i0fCTnIBs,MavinRecords,Dj Big N ft Dr. SID and Wizkid - Erima,,2016-03-26 17:51:39,116275,1280,0.0,68.0,PT3M47S,hd,false,1900-01-01 17:51:39,March,Saturday,227.0,2016-03-26
