video_id,channelTitle,title,description,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,Release_Time,Release_Year,Release_Month, Release_Day,Date,TotalSecs
dbIbJfCNRDA,MavinRecords,Magixx - Gratitude (Official Audio),"Magixx - Gratitude
Stream MAGIXX EP: https://mavinrecords.link/magixx

Follow Magixx
Facebook: https://www.facebook.com/kingmagixx
Instagram: https://www.instagram.com/iam_magixx/
Twitter: https://twitter.com/iam_magixx
TikTok: https://www.tiktok.com/@king.magixx
YouTube: https://www.youtube.com/channel/UCxB1Xmz7BomgGotLDMLAUdQ
Apple Music: https://music.apple.com/artist/magixx/1364115145
Spotify: https://open.spotify.com/artist/0rskhjcLm5BxjwZDRs4142?si=cnfNoJxfTbidMrGGyvxtiA&dl_branch=1

#magixx #gratitude",2021-09-23 23:17:02,42456,1045,0,50,PT2M27S,hd,false,1900-01-01 23:17:02,2021,September,Thursday,2021-09-23,147.0
ulwfYcFg1YY,MavinRecords,Magixx - Pati (Official Audio),"Magixx - Pati
Stream MAGIXX EP: https://mavinrecords.link/magixx

Follow Magixx
Facebook: https://www.facebook.com/kingmagixx
Instagram: https://www.instagram.com/iam_magixx/
Twitter: https://twitter.com/iam_magixx
TikTok: https://www.tiktok.com/@king.magixx
YouTube: https://www.youtube.com/channel/UCxB1Xmz7BomgGotLDMLAUdQ
Apple Music: https://music.apple.com/artist/magixx/1364115145
Spotify: https://open.spotify.com/artist/0rskhjcLm5BxjwZDRs4142?si=cnfNoJxfTbidMrGGyvxtiA&dl_branch=1

#magixx #pati",2021-09-23 23:16:57,26397,539,0,28,PT2M39S,hd,false,1900-01-01 23:16:57,2021,September,Thursday,2021-09-23,159.0
s212IaY8Gq0,MavinRecords,Magixx - Love Don't Cost A Dime (Official Audio),"Magixx - Love Don't Cost A Dime
Stream MAGIXX EP: https://mavinrecords.link/magixx

Follow Magixx
Facebook: https://www.facebook.com/kingmagixx
Instagram: https://www.instagram.com/iam_magixx/
Twitter: https://twitter.com/iam_magixx
TikTok: https://www.tiktok.com/@king.magixx
YouTube: https://www.youtube.com/channel/UCxB1Xmz7BomgGotLDMLAUdQ
Apple Music: https://music.apple.com/artist/magixx/1364115145
Spotify: https://open.spotify.com/artist/0rskhjcLm5BxjwZDRs4142?si=cnfNoJxfTbidMrGGyvxtiA&dl_branch=1

#magixx #lovedontcostadime",2021-09-23 23:16:52,63095,1324,0,59,PT3M19S,hd,false,1900-01-01 23:16:52,2021,September,Thursday,2021-09-23,199.0
oNsnGD8rjhY,MavinRecords,Magixx - Like A Movie (Official Audio),"Magixx - Like a Movie
Stream MAGIXX EP: https://mavinrecords.link/magixx

Follow Magixx
Facebook: https://www.facebook.com/kingmagixx
Instagram: https://www.instagram.com/iam_magixx/
Twitter: https://twitter.com/iam_magixx
TikTok: https://www.tiktok.com/@king.magixx
YouTube: https://www.youtube.com/channel/UCxB1Xmz7BomgGotLDMLAUdQ
Apple Music: https://music.apple.com/artist/magixx/1364115145
Spotify: https://open.spotify.com/artist/0rskhjcLm5BxjwZDRs4142?si=cnfNoJxfTbidMrGGyvxtiA&dl_branch=1

#magixx #likeamovie",2021-09-23 23:16:41,49862,1096,0,50,PT2M44S,hd,false,1900-01-01 23:16:41,2021,September,Thursday,2021-09-23,164.0
xjFwXc_WloY,MavinRecords,Magixx - Motivate Yourself (Official Audio),"Magixx - Motivate Yourself
Stream MAGIXX EP: https://mavinrecords.link/magixx

Follow Magixx
Facebook: https://www.facebook.com/kingmagixx
Instagram: https://www.instagram.com/iam_magixx/
Twitter: https://twitter.com/iam_magixx
TikTok: https://www.tiktok.com/@king.magixx
YouTube: https://www.youtube.com/channel/UCxB1Xmz7BomgGotLDMLAUdQ
Apple Music: https://music.apple.com/artist/magixx/1364115145
Spotify: https://open.spotify.com/artist/0rskhjcLm5BxjwZDRs4142?si=cnfNoJxfTbidMrGGyvxtiA&dl_branch=1

#magixx #motivateyourself",2021-09-23 23:16:10,69025,1807,0,79,PT2M58S,hd,false,1900-01-01 23:16:10,2021,September,Thursday,2021-09-23,178.0
xU41HwwfZWI,MavinRecords,Liza - A Short Film (Starring Don Jazzy & Johnny Drille),"#liza #donjazzy #johnnydrille #mavin

Stream Before We Fall Asleep album: https://johnnydrille.lnk.to/BWFAYT
Liza Short Film - A Mavin Films & FilmOne production.",2021-09-22 16:30:11,135444,7216,0,1345,PT12M55S,hd,false,1900-01-01 16:30:11,2021,September,Wednesday,2021-09-22,775.0
B9yIMZwagSU,MavinRecords,Johnny Drille - sell my soul (Official Audio),"Johnny Drille - sell my soul 
Stream/Download Before We Fall Asleep: https://johnnydrille.lnk.to/BWFAYT

Follow Johnny Drille
Facebook: https://www.facebook.com/Johnnydrillemusic
Instagram: https://www.instagram.com/johnnydrille/
Twitter: https://twitter.com/Johnnydrille
Spotify: https://open.spotify.com/artist/4f8vvLN5Rt3WszqOqVR9e9
YouTube: https://www.youtube.com/user/officialjohnnydrille
Apple Music: https://music.apple.com/us/artist/johnny-drille/1048119915

#johnnydrille #sellmysoul #bwfa",2021-09-04 13:35:38,30949,585,0,46,PT3M40S,hd,false,1900-01-01 13:35:38,2021,September,Saturday,2021-09-04,220.0
XuaxuN36uh4,MavinRecords,"Johnny Drille - SISTER feat. Lagos Community Gospel Choir, Kwittee & Cillsoul (Official Audio)","Johnny Drille - SISTER
Stream/Download Before We Fall Asleep: https://johnnydrille.lnk.to/BWFAYT

Follow Johnny Drille
Facebook: https://www.facebook.com/Johnnydrillemusic
Instagram: https://www.instagram.com/johnnydrille/
Twitter: https://twitter.com/Johnnydrille
Spotify: https://open.spotify.com/artist/4f8vvLN5Rt3WszqOqVR9e9
YouTube: https://www.youtube.com/user/officialjohnnydrille
Apple Music: https://music.apple.com/us/artist/johnny-drille/1048119915

#johnnydrille #sister #bwfa",2021-09-04 13:35:32,14573,469,0,34,PT4M16S,hd,false,1900-01-01 13:35:32,2021,September,Saturday,2021-09-04,256.0
A1dOsFGoUvw,MavinRecords,Johnny Drille - SWEET AS A MOTHER'S LOVE (Official Audio),"Johnny Drille - SWEET AS A MOTHER'S LOVE
Stream/Download Before We Fall Asleep: https://johnnydrille.lnk.to/BWFAYT

Follow Johnny Drille
Facebook: https://www.facebook.com/Johnnydrillemusic
Instagram: https://www.instagram.com/johnnydrille/
Twitter: https://twitter.com/Johnnydrille
Spotify: https://open.spotify.com/artist/4f8vvLN5Rt3WszqOqVR9e9
YouTube: https://www.youtube.com/user/officialjohnnydrille
Apple Music: https://music.apple.com/us/artist/johnny-drille/1048119915

#johnnydrille #bwfa #sweetasamotherslove",2021-09-04 13:35:28,15405,293,0,15,PT3M18S,hd,false,1900-01-01 13:35:28,2021,September,Saturday,2021-09-04,198.0
sPiZW_NsLh0,MavinRecords,Johnny Drille - lost in the rhythm (Official Audio),"Johnny Drille - lost in the rhythm
Stream/Download Before We Fall Asleep: https://johnnydrille.lnk.to/BWFAYT

Follow Johnny Drille
Facebook: https://www.facebook.com/Johnnydrillemusic
Instagram: https://www.instagram.com/johnnydrille/
Twitter: https://twitter.com/Johnnydrille
Spotify: https://open.spotify.com/artist/4f8vvLN5Rt3WszqOqVR9e9
YouTube: https://www.youtube.com/user/officialjohnnydrille
Apple Music: https://music.apple.com/us/artist/johnny-drille/1048119915

#johnnydrille #lostintherhythm #bwfa",2021-09-04 13:35:24,12379,240,0,19,PT2M16S,hd,false,1900-01-01 13:35:24,2021,September,Saturday,2021-09-04,136.0
